variable,dimension_nexus,descripcion,fuente,tipo,min,max,mean,na_count
dengue_leishmaniose,Riesgo_Salud,Co-ocurrencia dengue-leishmaniasis,Calculado,binary,0.0,10.0,3.551937984496124,0
leptospirose_malaria,Riesgo_Salud,Co-ocurrencia leptospirosis-malaria,Calculado,binary,0.0,10.0,1.2217054263565892,0
leptospirose_leishmaniose,Riesgo_Salud,Co-ocurrencia leptospirosis-leishmaniasis,Calculado,binary,0.0,10.0,2.5689922480620155,0
malaria_leishmaniose,Riesgo_Salud,Co-ocurrencia malaria-leishmaniasis,Calculado,binary,0.0,10.0,0.9054263565891473,0
idx_vulnerabilidad,Vulnerabilidad_Social,Indice de vulnerabilidad socioeconomica (0-100),Calculado,index,3.797281843974258,54.24252630607085,17.516530188284733,0
idx_carga_enfermedad,Riesgo_Salud,Indice de carga de enfermedad (0-100),Calculado,index,0.1281069936729918,34.156636716775715,8.27192855043408,0
tercil_biodiv,Biodiversidad,"Tercil de biodiversidad (1=bajo, 2=medio, 3=alto)",Calculado,category,,,,0
tercil_clima,Riesgo_Climatico,"Tercil de riesgo climatico (1=bajo, 2=medio, 3=alto)",Calculado,category,,,,0
tercil_vuln,Vulnerabilidad_Social,"Tercil de vulnerabilidad (1=bajo, 2=medio, 3=alto)",Calculado,category,,,,0
grupo_clima_biodiv,Clasificaciones,Grupo combinado clima-biodiversidad,Calculado,category,,,,0
cuadrante,Clasificaciones,Cuadrante gobernanza-vulnerabilidad,Calculado,category,,,,0
fire_incidence_mean,Riesgo_Climatico,Incidencia media anual de focos de fuego,INPE Queimadas,rate,0.0,51.7,6.269919404454288,0
fire_incidence_max,Riesgo_Climatico,Incidencia maxima anual de focos de fuego,INPE Queimadas,rate,0.0,132.0,14.758139534883721,0
fire_frp_mean,Riesgo_Climatico,Potencia radiativa del fuego (FRP) media,INPE Queimadas,value,0.0,180.92166666666668,38.5624868540109,0
fire_frp_max,Riesgo_Climatico,FRP maxima registrada,INPE Queimadas,value,0.0,3661.5,346.7472868217055,0
fire_total_foci,Riesgo_Climatico,Total de focos de fuego 2010-2019,INPE Queimadas,count,0.0,517.0,55.8062015503876,0
fire_frp_total,Riesgo_Climatico,FRP total acumulada,INPE Queimadas,value,0.0,54654.9,3187.0031007751936,0
fire_years_with_fire,Riesgo_Climatico,Anos con registro de fuego (0-10),INPE Queimadas,count,0.0,10.0,7.575193798449613,0
fire_recurrence,Riesgo_Climatico,Recurrencia de fuego (proporcion de anos),Calculado,proportion,0.0,1.0,0.7575193798449613,0
fire_cv,Riesgo_Climatico,Coeficiente de variacion de incidencia de fuego,Calculado,value,0.0,1.6169510234527509,0.6827524614904948,19
fire_dry_season_pct,Riesgo_Climatico,Porcentaje de focos en epoca seca,INPE Queimadas,%,0.0,1.0,0.7920593115084857,0
fire_max_consecutive_years,Riesgo_Climatico,Anos consecutivos maximos con fuego,Calculado,count,0.0,10.0,5.919379844961241,0
fire_risk_index,Riesgo_Climatico,Indice compuesto de riesgo de fuego,Calculado,index,0.0,84.15334546075286,33.97092262333247,0
health_hosp_circ_mean,Riesgo_Salud,Tasa media de hospitalizacion por enf. circulatorias,DATASUS/SIH,rate,275.8001004786177,3004.8934467443287,826.0056433431076,0
health_hosp_resp_mean,Riesgo_Salud,Tasa media de hospitalizacion por enf. respiratorias,DATASUS/SIH,rate,157.76102425674387,3128.204936567592,815.3839864339126,0
health_hosp_heat_mean,Riesgo_Salud,Tasa media de hospitalizacion por efectos del calor,DATASUS/SIH,rate,0.0,3.328894806924102,0.01766421040281017,0
health_hosp_circ_max,Riesgo_Salud,Tasa maxima de hospitalizacion circulatoria,DATASUS/SIH,rate,332.3471000689012,3855.970829535096,1106.9873993864078,0
health_hosp_resp_max,Riesgo_Salud,Tasa maxima de hospitalizacion respiratoria,DATASUS/SIH,rate,272.35986645580743,4691.977985746532,1145.6996999527412,0
health_hosp_heat_max,Riesgo_Salud,Tasa maxima de hospitalizacion por calor,DATASUS/SIH,rate,0.0,33.288948069241016,0.17469903889625973,0
health_death_circ_mean,Riesgo_Salud,Tasa media de mortalidad por enf. circulatorias,DATASUS/SIM,rate,82.81898252589313,481.140741810301,200.30286913062707,0
health_death_resp_mean,Riesgo_Salud,Tasa media de mortalidad por enf. respiratorias,DATASUS/SIM,rate,41.27297182067352,207.2847285806331,96.61749109795639,0
health_death_heat_mean,Riesgo_Salud,Tasa media de mortalidad por efectos del calor,DATASUS/SIM,rate,0.0,0.0,0.0,0
health_death_circ_max,Riesgo_Salud,Tasa maxima de mortalidad circulatoria,DATASUS/SIM,rate,118.83258864911112,650.9357200976403,278.34059214161056,0
health_death_resp_max,Riesgo_Salud,Tasa maxima de mortalidad respiratoria,DATASUS/SIM,rate,54.229934924078094,546.448087431694,155.0158042897846,0
health_death_heat_max,Riesgo_Salud,Tasa maxima de mortalidad por calor,DATASUS/SIM,rate,0.0,0.0,0.0,0
health_total_hosp_circ,Riesgo_Salud,Total hospitalizaciones circulatorias 2010-2019,DATASUS/SIH,count,71.0,662788.0,4142.471317829458,0
health_total_hosp_resp,Riesgo_Salud,Total hospitalizaciones respiratorias 2010-2019,DATASUS/SIH,count,74.0,549402.0,3707.412403100775,0
health_total_hosp_heat,Riesgo_Salud,Total hospitalizaciones por calor 2010-2019,DATASUS/SIH,count,0.0,7.0,0.04806201550387597,0
health_total_death_circ,Riesgo_Salud,Total obitos circulatorios 2010-2019,DATASUS/SIM,count,12.0,237528.0,1309.0015503875968,0
health_total_death_resp,Riesgo_Salud,Total obitos respiratorios 2010-2019,DATASUS/SIM,count,8.0,100161.0,587.9286821705426,0
health_total_death_heat,Riesgo_Salud,Total obitos por calor 2010-2019,DATASUS/SIM,count,0.0,0.0,0.0,0
incidence_diarrhea_mean,Riesgo_Salud,Incidencia media de diarrea (por 100k hab/ano),DATASUS/SINAN,rate,0.0,1520.0912024784109,67.39266488068021,0
incidence_diarrhea_max,Riesgo_Salud,Incidencia maxima de diarrea en un ano,DATASUS/SINAN,rate,0.0,2632.2596003085464,151.77085033905334,0
total_cases_diarrhea,Riesgo_Salud,Total casos de diarrea 2010-2019,DATASUS/SINAN,count,0.0,30528.0,215.8248062015504,0
persist_diarrhea,Riesgo_Salud,Anos con casos de diarrea (0-10),DATASUS/SINAN,count,0.0,10.0,8.031007751937985,0
