var1,var2,rho,p_value,n,significant
persist_malaria,hydric_stress_risk,0.06271463720812437,0.39382616750525257,187,False
Vert_rich_risk,UAI_housing,0.05820194486427224,0.1398014753075141,645,False
Vert_rich_risk,population,-0.05571644771321075,0.15754532571709218,645,False
pol_deficit,UAI_env,-0.054172007400281025,0.16939858521801882,645,False
mean_species_richness,pct_rural,-0.051459694415160115,0.19180977799582155,645,False
pol_deficit,pct_rural,-0.049258590148638565,0.21153894591721395,645,False
persist_dengue,pol_deficit,-0.04891914517584694,0.5061323651043879,187,False
persist_diarrhea,mean_species_richness,-0.04818860873158165,0.5125118842807325,187,False
Vert_rich_risk,UAI_mob,-0.041058359832004516,0.29779691561666044,645,False
Vert_rich_risk,UAI_promedio,0.03913007234826415,0.32108389220062883,645,False
incidence_dengue,hydric_stress_risk,0.038409265038188395,0.6017332397317516,187,False
mean_species_richness,UAI_food,-0.036641912912680485,0.3528392770385391,645,False
Vert_rich_risk,flooding_risks,-0.02858350407570688,0.46865392480088897,645,False
pol_deficit,flooding_exposure,-0.018968771591399973,0.6306189434926144,645,False
persist_malaria,pol_deficit,0.017553777955193212,0.8115296508361362,187,False
Vert_rich_risk,mort_infantil,0.017429877038696463,0.6586057876019398,645,False
persist_dengue,mean_species_richness,0.01084634281086433,0.8828705100858087,187,False
pol_deficit,UAI_food,-0.010449428147017627,0.7911057374262771,645,False
persist_diarrhea,pol_deficit,0.0054764488623483395,0.9407018757410872,187,False
