cod_ibge,cod_ibge_7,nome_municipio,cod_microrregiao,nome_microrregiao,cod_mesorregiao,nome_mesorregiao
353475,3534757,Ouroeste,35002,Fernandópolis,3501,São José do Rio Preto
353480,3534807,Ouro Verde,35034,Dracena,3508,Presidente Prudente
353490,3534906,Pacaembu,35035,Adamantina,3508,Presidente Prudente
353500,3535002,Palestina,35004,São José do Rio Preto,3501,São José do Rio Preto
353510,3535101,Palmares Paulista,35005,Catanduva,3501,São José do Rio Preto
353520,3535200,Palmeira d'Oeste,35001,Jales,3501,São José do Rio Preto
353530,3535309,Palmital,35039,Assis,3510,Assis
353540,3535408,Panorama,35034,Dracena,3508,Presidente Prudente
353550,3535507,Paraguaçu Paulista,35039,Assis,3510,Assis
353560,3535606,Paraibuna,35053,Paraibuna/Paraitinga,3513,Vale do Paraíba Paulista
353570,3535705,Paraíso,35005,Catanduva,3501,São José do Rio Preto
353580,3535804,Paranapanema,35022,Avaré,3504,Bauru
353590,3535903,Paranapuã,35001,Jales,3501,São José do Rio Preto
353600,3536000,Parapuã,35035,Adamantina,3508,Presidente Prudente
353610,3536109,Pardinho,35023,Botucatu,3504,Bauru
353620,3536208,Pariquera-Açu,35055,Registro,3514,Litoral Sul Paulista
353625,3536257,Parisi,35003,Votuporanga,3501,São José do Rio Preto
353630,3536307,Patrocínio Paulista,35012,Franca,3502,Ribeirão Preto
353640,3536406,Paulicéia,35034,Dracena,3508,Presidente Prudente
353650,3536505,Paulínia,35032,Campinas,3507,Campinas
353657,3536570,Paulistânia,35020,Bauru,3504,Bauru
353660,3536604,Paulo de Faria,35004,São José do Rio Preto,3501,São José do Rio Preto
353670,3536703,Pederneiras,35021,Jaú,3504,Bauru
353680,3536802,Pedra Bela,35033,Amparo,3507,Campinas
353690,3536901,Pedranópolis,35002,Fernandópolis,3501,São José do Rio Preto
353700,3537008,Pedregulho,35012,Franca,3502,Ribeirão Preto
353710,3537107,Pedreira,35032,Campinas,3507,Campinas
353715,3537156,Pedrinhas Paulista,35039,Assis,3510,Assis
353720,3537206,Pedro de Toledo,35056,Itanhaém,3514,Litoral Sul Paulista
353730,3537305,Penápolis,35018,Birigui,3503,Araçatuba
353740,3537404,Pereira Barreto,35016,Andradina,3503,Araçatuba
353750,3537503,Pereiras,35043,Tatuí,3511,Itapetininga
353760,3537602,Peruíbe,35056,Itanhaém,3514,Litoral Sul Paulista
353770,3537701,Piacatu,35018,Birigui,3503,Araçatuba
353780,3537800,Piedade,35045,Piedade,3512,Macro Metropolitana Paulista
353790,3537909,Pilar do Sul,35045,Piedade,3512,Macro Metropolitana Paulista
353800,3538006,Pindamonhangaba,35050,São José dos Campos,3513,Vale do Paraíba Paulista
353810,3538105,Pindorama,35005,Catanduva,3501,São José do Rio Preto
353820,3538204,Pinhalzinho,35033,Amparo,3507,Campinas
353830,3538303,Piquerobi,35036,Presidente Prudente,3508,Presidente Prudente
353850,3538501,Piquete,35051,Guaratinguetá,3513,Vale do Paraíba Paulista
353860,3538600,Piracaia,35048,Bragança Paulista,3512,Macro Metropolitana Paulista
353870,3538709,Piracicaba,35028,Piracicaba,3506,Piracicaba
353880,3538808,Piraju,35040,Ourinhos,3510,Assis
353890,3538907,Pirajuí,35020,Bauru,3504,Bauru
353900,3539004,Pirangi,35013,Jaboticabal,3502,Ribeirão Preto
353910,3539103,Pirapora do Bom Jesus,35057,Osasco,3515,Metropolitana de São Paulo
353920,3539202,Pirapozinho,35036,Presidente Prudente,3508,Presidente Prudente
353930,3539301,Pirassununga,35029,Pirassununga,3507,Campinas
353940,3539400,Piratininga,35020,Bauru,3504,Bauru
353950,3539509,Pitangueiras,35013,Jaboticabal,3502,Ribeirão Preto
353960,3539608,Planalto,35004,São José do Rio Preto,3501,São José do Rio Preto
353970,3539707,Platina,35039,Assis,3510,Assis
353980,3539806,Poá,35062,Mogi das Cruzes,3515,Metropolitana de São Paulo
353990,3539905,Poloni,35007,Nhandeara,3501,São José do Rio Preto
354000,3540002,Pompéia,35038,Marília,3509,Marília
354010,3540101,Pongaí,35020,Bauru,3504,Bauru
354020,3540200,Pontal,35014,Ribeirão Preto,3502,Ribeirão Preto
354025,3540259,Pontalinda,35001,Jales,3501,São José do Rio Preto
354030,3540309,Pontes Gestal,35003,Votuporanga,3501,São José do Rio Preto
354040,3540408,Populina,35001,Jales,3501,São José do Rio Preto
354050,3540507,Porangaba,35043,Tatuí,3511,Itapetininga
354060,3540606,Porto Feliz,35046,Sorocaba,3512,Macro Metropolitana Paulista
354070,3540705,Porto Ferreira,35029,Pirassununga,3507,Campinas
354075,3540754,Potim,35051,Guaratinguetá,3513,Vale do Paraíba Paulista
354080,3540804,Potirendaba,35004,São José do Rio Preto,3501,São José do Rio Preto
354085,3540853,Pracinha,35035,Adamantina,3508,Presidente Prudente
354090,3540903,Pradópolis,35014,Ribeirão Preto,3502,Ribeirão Preto
354100,3541000,Praia Grande,35063,Santos,3515,Metropolitana de São Paulo
354105,3541059,Pratânia,35023,Botucatu,3504,Bauru
354110,3541109,Presidente Alves,35020,Bauru,3504,Bauru
354120,3541208,Presidente Bernardes,35036,Presidente Prudente,3508,Presidente Prudente
354130,3541307,Presidente Epitácio,35036,Presidente Prudente,3508,Presidente Prudente
354140,3541406,Presidente Prudente,35036,Presidente Prudente,3508,Presidente Prudente
354150,3541505,Presidente Venceslau,35036,Presidente Prudente,3508,Presidente Prudente
354160,3541604,Promissão,35019,Lins,3504,Bauru
354165,3541653,Quadra,35043,Tatuí,3511,Itapetininga
354170,3541703,Quatá,35039,Assis,3510,Assis
354180,3541802,Queiroz,35037,Tupã,3509,Marília
354190,3541901,Queluz,35051,Guaratinguetá,3513,Vale do Paraíba Paulista
354200,3542008,Quintana,35037,Tupã,3509,Marília
354210,3542107,Rafard,35028,Piracicaba,3506,Piracicaba
354220,3542206,Rancharia,35036,Presidente Prudente,3508,Presidente Prudente
354230,3542305,Redenção da Serra,35053,Paraibuna/Paraitinga,3513,Vale do Paraíba Paulista
354240,3542404,Regente Feijó,35036,Presidente Prudente,3508,Presidente Prudente
354250,3542503,Reginópolis,35020,Bauru,3504,Bauru
354260,3542602,Registro,35055,Registro,3514,Litoral Sul Paulista
354270,3542701,Restinga,35012,Franca,3502,Ribeirão Preto
354280,3542800,Ribeira,35044,Capão Bonito,3511,Itapetininga
354290,3542909,Ribeirão Bonito,35025,São Carlos,3505,Araraquara
354300,3543006,Ribeirão Branco,35044,Capão Bonito,3511,Itapetininga
354310,3543105,Ribeirão Corrente,35012,Franca,3502,Ribeirão Preto
354320,3543204,Ribeirão do Sul,35040,Ourinhos,3510,Assis
354323,3543238,Ribeirão dos Índios,35036,Presidente Prudente,3508,Presidente Prudente
354325,3543253,Ribeirão Grande,35044,Capão Bonito,3511,Itapetininga
354330,3543303,Ribeirão Pires,35061,São Paulo,3515,Metropolitana de São Paulo
354340,3543402,Ribeirão Preto,35014,Ribeirão Preto,3502,Ribeirão Preto
354350,3543501,Riversul,35041,Itapeva,3511,Itapetininga
354360,3543600,Rifaina,35012,Franca,3502,Ribeirão Preto
354370,3543709,Rincão,35024,Araraquara,3505,Araraquara
354380,3543808,Rinópolis,35035,Adamantina,3508,Presidente Prudente
354390,3543907,Rio Claro,35026,Rio Claro,3506,Piracicaba
354400,3544004,Rio das Pedras,35028,Piracicaba,3506,Piracicaba
354410,3544103,Rio Grande da Serra,35061,São Paulo,3515,Metropolitana de São Paulo
354420,3544202,Riolândia,35003,Votuporanga,3501,São José do Rio Preto
354425,3544251,Rosana,35036,Presidente Prudente,3508,Presidente Prudente
354430,3544301,Roseira,35051,Guaratinguetá,3513,Vale do Paraíba Paulista
354440,3544400,Rubiácea,35017,Araçatuba,3503,Araçatuba
354450,3544509,Rubinéia,35001,Jales,3501,São José do Rio Preto
354460,3544608,Sabino,35019,Lins,3504,Bauru
354470,3544707,Sagres,35035,Adamantina,3508,Presidente Prudente
354480,3544806,Sales,35008,Novo Horizonte,3501,São José do Rio Preto
354490,3544905,Sales Oliveira,35010,São Joaquim da Barra,3502,Ribeirão Preto
354500,3545001,Salesópolis,35062,Mogi das Cruzes,3515,Metropolitana de São Paulo
354510,3545100,Salmourão,35035,Adamantina,3508,Presidente Prudente
354515,3545159,Saltinho,35028,Piracicaba,3506,Piracicaba
354520,3545209,Salto,35046,Sorocaba,3512,Macro Metropolitana Paulista
354530,3545308,Salto de Pirapora,35046,Sorocaba,3512,Macro Metropolitana Paulista
354540,3545407,Salto Grande,35040,Ourinhos,3510,Assis
354550,3545506,Sandovalina,35036,Presidente Prudente,3508,Presidente Prudente
354560,3545605,Santa Adélia,35005,Catanduva,3501,São José do Rio Preto
354570,3545704,Santa Albertina,35001,Jales,3501,São José do Rio Preto
354580,3545803,Santa Bárbara d'Oeste,35032,Campinas,3507,Campinas
354600,3546009,Santa Branca,35050,São José dos Campos,3513,Vale do Paraíba Paulista
354610,3546108,Santa Clara d'Oeste,35001,Jales,3501,São José do Rio Preto
354620,3546207,Santa Cruz da Conceição,35027,Limeira,3506,Piracicaba
354625,3546256,Santa Cruz da Esperança,35015,Batatais,3502,Ribeirão Preto
354630,3546306,Santa Cruz das Palmeiras,35029,Pirassununga,3507,Campinas
354640,3546405,Santa Cruz do Rio Pardo,35040,Ourinhos,3510,Assis
354650,3546504,Santa Ernestina,35013,Jaboticabal,3502,Ribeirão Preto
354660,3546603,Santa Fé do Sul,35001,Jales,3501,São José do Rio Preto
354670,3546702,Santa Gertrudes,35027,Limeira,3506,Piracicaba
354680,3546801,Santa Isabel,35059,Guarulhos,3515,Metropolitana de São Paulo
354690,3546900,Santa Lúcia,35024,Araraquara,3505,Araraquara
354700,3547007,Santa Maria da Serra,35028,Piracicaba,3506,Piracicaba
354710,3547106,Santa Mercedes,35034,Dracena,3508,Presidente Prudente
354720,3547205,Santana da Ponte Pensa,35001,Jales,3501,São José do Rio Preto
354730,3547304,Santana de Parnaíba,35057,Osasco,3515,Metropolitana de São Paulo
354740,3547403,Santa Rita d'Oeste,35001,Jales,3501,São José do Rio Preto
354750,3547502,Santa Rita do Passa Quatro,35014,Ribeirão Preto,3502,Ribeirão Preto
354760,3547601,Santa Rosa de Viterbo,35014,Ribeirão Preto,3502,Ribeirão Preto
354765,3547650,Santa Salete,35001,Jales,3501,São José do Rio Preto
354770,3547700,Santo Anastácio,35036,Presidente Prudente,3508,Presidente Prudente
354780,3547809,Santo André,35061,São Paulo,3515,Metropolitana de São Paulo
354790,3547908,Santo Antônio da Alegria,35015,Batatais,3502,Ribeirão Preto
354800,3548005,Santo Antônio de Posse,35031,Mogi Mirim,3507,Campinas
354805,3548054,Santo Antônio do Aracanguá,35017,Araçatuba,3503,Araçatuba
354810,3548104,Santo Antônio do Jardim,35030,São João da Boa Vista,3507,Campinas
354820,3548203,Santo Antônio do Pinhal,35049,Campos do Jordão,3513,Vale do Paraíba Paulista
354830,3548302,Santo Expedito,35036,Presidente Prudente,3508,Presidente Prudente
354840,3548401,Santópolis do Aguapeí,35018,Birigui,3503,Araçatuba
354850,3548500,Santos,35063,Santos,3515,Metropolitana de São Paulo
354860,3548609,São Bento do Sapucaí,35049,Campos do Jordão,3513,Vale do Paraíba Paulista
354870,3548708,São Bernardo do Campo,35061,São Paulo,3515,Metropolitana de São Paulo
354880,3548807,São Caetano do Sul,35061,São Paulo,3515,Metropolitana de São Paulo
354890,3548906,São Carlos,35025,São Carlos,3505,Araraquara
354900,3549003,São Francisco,35001,Jales,3501,São José do Rio Preto
354910,3549102,São João da Boa Vista,35030,São João da Boa Vista,3507,Campinas
354920,3549201,São João das Duas Pontes,35002,Fernandópolis,3501,São José do Rio Preto
354925,3549250,São João de Iracema,35006,Auriflama,3501,São José do Rio Preto
354930,3549300,São João do Pau d'Alho,35034,Dracena,3508,Presidente Prudente
354940,3549409,São Joaquim da Barra,35010,São Joaquim da Barra,3502,Ribeirão Preto
354950,3549508,São José da Bela Vista,35012,Franca,3502,Ribeirão Preto
354960,3549607,São José do Barreiro,35052,Bananal,3513,Vale do Paraíba Paulista
354970,3549706,São José do Rio Pardo,35030,São João da Boa Vista,3507,Campinas
354980,3549805,São José do Rio Preto,35004,São José do Rio Preto,3501,São José do Rio Preto
354990,3549904,São José dos Campos,35050,São José dos Campos,3513,Vale do Paraíba Paulista
354995,3549953,São Lourenço da Serra,35060,Itapecerica da Serra,3515,Metropolitana de São Paulo
355000,3550001,São Luiz do Paraitinga,35053,Paraibuna/Paraitinga,3513,Vale do Paraíba Paulista
355010,3550100,São Manuel,35023,Botucatu,3504,Bauru
355020,3550209,São Miguel Arcanjo,35045,Piedade,3512,Macro Metropolitana Paulista
355030,3550308,São Paulo,35061,São Paulo,3515,Metropolitana de São Paulo
355040,3550407,São Pedro,35028,Piracicaba,3506,Piracicaba
355050,3550506,São Pedro do Turvo,35040,Ourinhos,3510,Assis
355060,3550605,São Roque,35046,Sorocaba,3512,Macro Metropolitana Paulista
355070,3550704,São Sebastião,35054,Caraguatatuba,3513,Vale do Paraíba Paulista
355080,3550803,São Sebastião da Grama,35030,São João da Boa Vista,3507,Campinas
355090,3550902,São Simão,35014,Ribeirão Preto,3502,Ribeirão Preto
355100,3551009,São Vicente,35063,Santos,3515,Metropolitana de São Paulo
355110,3551108,Sarapuí,35046,Sorocaba,3512,Macro Metropolitana Paulista
355120,3551207,Sarutaiá,35040,Ourinhos,3510,Assis
355130,3551306,Sebastianópolis do Sul,35007,Nhandeara,3501,São José do Rio Preto
355140,3551405,Serra Azul,35014,Ribeirão Preto,3502,Ribeirão Preto
355150,3551504,Serrana,35014,Ribeirão Preto,3502,Ribeirão Preto
355160,3551603,Serra Negra,35033,Amparo,3507,Campinas
355170,3551702,Sertãozinho,35014,Ribeirão Preto,3502,Ribeirão Preto
355180,3551801,Sete Barras,35055,Registro,3514,Litoral Sul Paulista
355190,3551900,Severínia,35005,Catanduva,3501,São José do Rio Preto
355200,3552007,Silveiras,35052,Bananal,3513,Vale do Paraíba Paulista
355210,3552106,Socorro,35033,Amparo,3507,Campinas
355220,3552205,Sorocaba,35046,Sorocaba,3512,Macro Metropolitana Paulista
355230,3552304,Sud Mennucci,35016,Andradina,3503,Araçatuba
355240,3552403,Sumaré,35032,Campinas,3507,Campinas
355250,3552502,Suzano,35062,Mogi das Cruzes,3515,Metropolitana de São Paulo
355255,3552551,Suzanápolis,35016,Andradina,3503,Araçatuba
355260,3552601,Tabapuã,35005,Catanduva,3501,São José do Rio Preto
355270,3552700,Tabatinga,35024,Araraquara,3505,Araraquara
355280,3552809,Taboão da Serra,35060,Itapecerica da Serra,3515,Metropolitana de São Paulo
355290,3552908,Taciba,35036,Presidente Prudente,3508,Presidente Prudente
355300,3553005,Taguaí,35040,Ourinhos,3510,Assis
355310,3553104,Taiaçu,35013,Jaboticabal,3502,Ribeirão Preto
355320,3553203,Taiúva,35013,Jaboticabal,3502,Ribeirão Preto
355330,3553302,Tambaú,35030,São João da Boa Vista,3507,Campinas
355340,3553401,Tanabi,35004,São José do Rio Preto,3501,São José do Rio Preto
355350,3553500,Tapiraí,35045,Piedade,3512,Macro Metropolitana Paulista
355360,3553609,Tapiratiba,35030,São João da Boa Vista,3507,Campinas
355365,3553658,Taquaral,35013,Jaboticabal,3502,Ribeirão Preto
355370,3553708,Taquaritinga,35013,Jaboticabal,3502,Ribeirão Preto
355380,3553807,Taquarituba,35041,Itapeva,3511,Itapetininga
355385,3553856,Taquarivaí,35041,Itapeva,3511,Itapetininga
355390,3553906,Tarabai,35036,Presidente Prudente,3508,Presidente Prudente
355395,3553955,Tarumã,35039,Assis,3510,Assis
355400,3554003,Tatuí,35043,Tatuí,3511,Itapetininga
355410,3554102,Taubaté,35050,São José dos Campos,3513,Vale do Paraíba Paulista
355420,3554201,Tejupá,35040,Ourinhos,3510,Assis
355430,3554300,Teodoro Sampaio,35036,Presidente Prudente,3508,Presidente Prudente
355440,3554409,Terra Roxa,35013,Jaboticabal,3502,Ribeirão Preto
355450,3554508,Tietê,35028,Piracicaba,3506,Piracicaba
355460,3554607,Timburi,35040,Ourinhos,3510,Assis
355465,3554656,Torre de Pedra,35043,Tatuí,3511,Itapetininga
355470,3554706,Torrinha,35026,Rio Claro,3506,Piracicaba
355475,3554755,Trabiju,35024,Araraquara,3505,Araraquara
355480,3554805,Tremembé,35050,São José dos Campos,3513,Vale do Paraíba Paulista
355490,3554904,Três Fronteiras,35001,Jales,3501,São José do Rio Preto
355495,3554953,Tuiuti,35048,Bragança Paulista,3512,Macro Metropolitana Paulista
355500,3555000,Tupã,35037,Tupã,3509,Marília
355510,3555109,Tupi Paulista,35034,Dracena,3508,Presidente Prudente
355520,3555208,Turiúba,35018,Birigui,3503,Araçatuba
355530,3555307,Turmalina,35002,Fernandópolis,3501,São José do Rio Preto
355535,3555356,Ubarana,35004,São José do Rio Preto,3501,São José do Rio Preto
355540,3555406,Ubatuba,35054,Caraguatatuba,3513,Vale do Paraíba Paulista
355550,3555505,Ubirajara,35020,Bauru,3504,Bauru
355560,3555604,Uchoa,35004,São José do Rio Preto,3501,São José do Rio Preto
355570,3555703,União Paulista,35007,Nhandeara,3501,São José do Rio Preto
355580,3555802,Urânia,35001,Jales,3501,São José do Rio Preto
355590,3555901,Uru,35020,Bauru,3504,Bauru
355600,3556008,Urupês,35008,Novo Horizonte,3501,São José do Rio Preto
355610,3556107,Valentim Gentil,35003,Votuporanga,3501,São José do Rio Preto
355620,3556206,Valinhos,35032,Campinas,3507,Campinas
355630,3556305,Valparaíso,35017,Araçatuba,3503,Araçatuba
355635,3556354,Vargem,35048,Bragança Paulista,3512,Macro Metropolitana Paulista
355640,3556404,Vargem Grande do Sul,35030,São João da Boa Vista,3507,Campinas
355645,3556453,Vargem Grande Paulista,35060,Itapecerica da Serra,3515,Metropolitana de São Paulo
355650,3556503,Várzea Paulista,35047,Jundiaí,3512,Macro Metropolitana Paulista
355660,3556602,Vera Cruz,35038,Marília,3509,Marília
355670,3556701,Vinhedo,35032,Campinas,3507,Campinas
355680,3556800,Viradouro,35013,Jaboticabal,3502,Ribeirão Preto
355690,3556909,Vista Alegre do Alto,35013,Jaboticabal,3502,Ribeirão Preto
355695,3556958,Vitória Brasil,35001,Jales,3501,São José do Rio Preto
355700,3557006,Votorantim,35046,Sorocaba,3512,Macro Metropolitana Paulista
355710,3557105,Votuporanga,35003,Votuporanga,3501,São José do Rio Preto
355715,3557154,Zacarias,35004,São José do Rio Preto,3501,São José do Rio Preto
355720,3557204,Chavantes,35040,Ourinhos,3510,Assis
355730,3557303,Estiva Gerbi,35031,Mogi Mirim,3507,Campinas
