cod_ibge,nome_municipio,cod_microrregiao,nome_microrregiao,cod_mesorregiao,nome_mesorregiao,deng_2010,deng_2011,deng_2012,deng_2013,deng_2014,deng_2015,deng_2016,deng_2017,deng_2018,deng_2019,leiv_2010,leiv_2011,leiv_2012,leiv_2013,leiv_2014,leiv_2015,leiv_2016,leiv_2017,leiv_2018,leiv_2019,lept_2010,lept_2011,lept_2012,lept_2013,lept_2014,lept_2015,lept_2016,lept_2017,lept_2018,lept_2019,ltan_2010,ltan_2011,ltan_2012,ltan_2013,ltan_2014,ltan_2015,ltan_2016,ltan_2017,ltan_2018,ltan_2019,mala_2010,mala_2011,mala_2012,mala_2013,mala_2014,mala_2015,mala_2016,mala_2017,mala_2018,mala_2019
350250,Aparecida,35051,Guaratinguetá,3513,Vale do Paraíba Paulista,8,57,464,42,107,1537,54,4,3,134,0,0,0,0,0,0,0,0,1,0,5,0,0,2,2,5,2,3,1,5,0,2,1,3,2,1,0,3,2,1,0,0,0,0,0,0,0,0,2,0
350260,Aparecida d'Oeste,35001,Jales,3501,São José do Rio Preto,38,62,2,56,51,228,113,1,2,63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,6,0
350270,Apiaí,35044,Capão Bonito,3511,Itapetininga,2,0,0,4,0,28,7,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,0,1,4,1,2,0,1,0,1,1,0,1,4,1,0,1,0,0,0,0,1,0,0
350275,Araçariguama,35046,Sorocaba,3512,Macro Metropolitana Paulista,5,2,0,8,18,235,18,1,0,27,0,0,0,0,0,0,0,0,0,0,5,5,1,2,2,2,3,1,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
350280,Araçatuba,35017,Araçatuba,3503,Araçatuba,12170,80,574,631,1883,1734,752,111,72,7877,8,13,12,8,20,5,14,18,46,43,2,1,0,0,0,1,2,4,1,2,1,1,3,0,0,1,0,2,3,5,2,2,2,2,1,1,3,0,1,1
350290,Araçoiaba da Serra,35046,Sorocaba,3512,Macro Metropolitana Paulista,6,5,3,130,48,503,24,4,7,9,0,0,0,0,0,0,0,1,1,1,1,0,3,1,3,4,3,4,3,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
350300,Aramina,35011,Ituverava,3502,Ribeirão Preto,90,219,55,202,1,8,26,1,100,259,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350320,Araraquara,35024,Araraquara,3505,Araraquara,1345,2613,147,900,1698,5544,1871,115,1206,23315,1,0,0,0,1,0,1,1,0,0,2,4,7,8,3,8,8,10,6,7,2,0,2,2,2,0,3,0,0,1,1,0,3,3,0,0,0,1,1,0
350330,Araras,35027,Limeira,3506,Piracicaba,232,270,12,1307,134,2742,412,29,17,659,0,0,0,0,0,0,0,0,0,0,10,13,6,9,22,19,13,30,44,26,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
350335,Arco-Íris,35037,Tupã,3509,Marília,11,0,0,32,5,14,5,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350340,Arealva,35020,Bauru,3504,Bauru,6,7,0,10,6,360,19,1,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350350,Areias,35052,Bananal,3513,Vale do Paraíba Paulista,1,2,0,23,5,11,5,1,3,7,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350360,Areiópolis,35020,Bauru,3504,Bauru,2,1,2,0,2,461,2,1,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350370,Ariranha,35005,Catanduva,3501,São José do Rio Preto,166,3,2,30,1,221,21,4,5,56,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350380,Artur Nogueira,35031,Mogi Mirim,3507,Campinas,249,33,9,475,111,981,161,14,125,186,0,0,0,0,0,0,0,0,0,0,10,6,2,3,3,6,6,4,6,5,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350390,Arujá,35059,Guarulhos,3515,Metropolitana de São Paulo,348,18,6,24,236,1522,211,117,96,611,0,0,0,0,0,0,0,0,0,0,42,10,13,15,7,4,4,4,18,4,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
350395,Aspásia,35001,Jales,3501,São José do Rio Preto,2,1,0,8,9,50,8,0,1,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350400,Assis,35039,Assis,3510,Assis,526,530,7,949,983,4767,134,21,11,2532,0,0,0,0,0,1,0,0,0,2,18,19,28,36,45,40,20,7,13,19,0,0,2,0,2,0,0,2,1,1,1,1,3,0,0,0,0,0,0,0
350410,Atibaia,35048,Bragança Paulista,3512,Macro Metropolitana Paulista,59,115,12,62,1362,1015,111,73,155,427,2,1,1,0,0,1,0,0,0,1,24,57,12,26,14,5,7,12,11,16,0,0,2,0,4,11,4,3,3,2,2,1,2,0,0,0,0,0,1,0
350420,Auriflama,35006,Auriflama,3501,São José do Rio Preto,96,7,7,49,60,230,125,8,2,613,1,0,0,1,1,0,0,0,2,1,2,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
350440,Avanhandava,35018,Birigui,3503,Araçatuba,173,5,6,157,17,143,29,5,10,167,0,1,0,0,1,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
350450,Avaré,35022,Avaré,3504,Bauru,9,9,0,10,3,267,13,2,2,19,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
350460,Bady Bassitt,35004,São José do Rio Preto,3501,São José do Rio Preto,493,24,2,246,41,914,271,31,98,1598,1,0,0,0,1,0,1,2,0,1,2,0,3,5,0,0,2,1,1,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0
350470,Balbinos,35020,Bauru,3504,Bauru,2,0,0,30,0,22,2,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350480,Bálsamo,35004,São José do Rio Preto,3501,São José do Rio Preto,171,5,4,164,7,395,93,4,5,444,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0
350490,Bananal,35052,Bananal,3513,Vale do Paraíba Paulista,55,27,0,122,7,397,11,0,1,26,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
350500,Barão de Antonina,35041,Itapeva,3511,Itapetininga,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350510,Barbosa,35018,Birigui,3503,Araçatuba,55,0,32,133,37,131,9,4,2,201,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
350520,Bariri,35021,Jaú,3504,Bauru,19,150,2,33,222,121,7,7,1,180,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350530,Barra Bonita,35021,Jaú,3504,Bauru,11,9,2,12,79,90,24,0,1,157,0,0,0,0,0,0,0,0,1,0,1,3,0,3,3,1,3,6,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
350550,Barretos,35009,Barretos,3502,Ribeirão Preto,1088,1175,397,4334,50,834,1383,13,239,5506,0,0,1,0,0,0,0,0,0,1,3,2,4,5,2,2,2,3,7,2,1,2,1,3,0,0,1,0,0,0,0,3,0,2,2,1,0,1,0,1
350560,Barrinha,35014,Ribeirão Preto,3502,Ribeirão Preto,174,126,16,440,28,182,404,34,79,981,0,0,0,0,0,0,0,2,0,0,1,1,2,1,5,1,2,1,1,0,0,0,0,0,3,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0
350570,Barueri,35057,Osasco,3515,Metropolitana de São Paulo,207,229,61,243,890,6455,55,5,8,217,1,1,1,0,0,0,0,0,0,1,46,40,41,39,41,36,35,21,25,23,2,5,1,0,1,3,0,0,2,0,3,4,1,0,2,0,0,4,3,0
350580,Bastos,35037,Tupã,3509,Marília,48,7,2,34,26,466,92,6,2,364,3,7,15,7,11,5,11,7,11,10,0,0,2,1,5,0,3,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
350590,Batatais,35015,Batatais,3502,Ribeirão Preto,91,283,5,177,17,597,4260,6,10,575,0,0,0,0,0,0,0,0,0,0,3,2,1,1,2,1,5,2,2,5,3,0,2,0,2,1,1,1,0,1,0,2,2,2,0,0,0,0,0,1
350600,Bauru,35020,Bauru,3504,Bauru,633,4362,37,7462,410,8558,1400,77,197,26341,44,50,44,32,28,23,17,28,9,9,5,4,5,4,3,6,5,8,12,4,0,1,1,2,1,4,1,2,2,2,1,0,3,1,2,2,0,0,0,2
350610,Bebedouro,35013,Jaboticabal,3502,Ribeirão Preto,513,128,12,917,700,6322,101,11,95,685,0,0,0,0,0,1,0,1,0,3,6,4,2,4,6,8,4,7,6,8,0,1,1,0,4,2,1,0,1,0,1,2,0,0,0,1,0,0,0,1
350620,Bento de Abreu,35017,Araçatuba,3503,Araçatuba,18,1,3,28,12,16,19,0,0,23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350635,Bertioga,35063,Santos,3515,Metropolitana de São Paulo,778,44,25,330,742,557,812,13,15,50,1,0,0,1,0,1,1,0,1,0,10,12,6,13,8,18,16,19,15,17,1,0,0,2,0,4,1,1,0,1,0,0,153,2,127,4,0,2,123,0
350640,Bilac,35018,Birigui,3503,Araçatuba,89,2,17,89,47,215,344,4,9,811,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350650,Birigui,35018,Birigui,3503,Araçatuba,730,132,159,367,3871,4588,4792,85,33,7941,14,32,35,29,18,20,4,20,14,16,2,6,2,1,5,4,2,8,3,2,1,4,2,5,2,6,1,5,0,1,0,1,0,1,0,0,0,0,1,1
350670,Boa Esperança do Sul,35024,Araraquara,3505,Araraquara,28,22,0,128,805,123,41,2,3,443,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350680,Bocaina,35021,Jaú,3504,Bauru,1,11,0,6,56,81,11,0,2,134,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350700,Boituva,35043,Tatuí,3511,Itapetininga,12,11,4,33,3,906,20,2,1,317,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,2,1,0,1,0,0,1,1,1,0,3,5,0,0,0,1,0,2,0,0,0,0,0,0
350710,Bom Jesus dos Perdões,35048,Bragança Paulista,3512,Macro Metropolitana Paulista,2,1,1,6,24,429,8,7,19,23,0,0,0,0,0,0,0,0,0,0,7,4,1,5,1,8,4,4,3,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
350720,Borá,35039,Assis,3510,Assis,1,0,0,19,1,37,2,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350740,Borborema,35024,Araraquara,3505,Araraquara,186,101,214,45,12,577,123,1,5,632,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350745,Borebi,35020,Bauru,3504,Bauru,1,1,0,2,0,7,0,0,2,78,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350750,Botucatu,35023,Botucatu,3504,Bauru,25,30,6,27,20,751,106,6,6,100,0,0,0,0,0,0,0,1,0,0,25,26,16,10,7,7,6,3,11,9,2,2,2,2,0,1,1,2,1,1,0,3,0,1,0,1,0,2,0,0
350760,Bragança Paulista,35048,Bragança Paulista,3512,Macro Metropolitana Paulista,40,21,10,32,298,694,248,5,15,51,0,1,1,0,0,0,0,0,0,0,18,41,19,25,26,36,30,14,18,13,0,3,0,0,4,1,0,0,0,1,3,2,0,2,0,2,0,1,0,1
350770,Braúna,35018,Birigui,3503,Araçatuba,14,0,9,5,38,178,20,1,7,90,1,0,1,0,0,2,2,1,1,10,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
350775,Brejo Alegre,35018,Birigui,3503,Araçatuba,5,0,1,10,24,18,20,0,10,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350780,Brodowski,35014,Ribeirão Preto,3502,Ribeirão Preto,200,148,2,119,13,317,355,6,9,1210,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0
350790,Brotas,35026,Rio Claro,3506,Piracicaba,109,13,258,7,219,266,17,4,7,266,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350810,Buritama,35018,Birigui,3503,Araçatuba,100,10,70,302,1566,823,589,9,1,723,0,1,0,3,0,3,2,0,4,1,0,0,0,0,0,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
350820,Buritizal,35011,Ituverava,3502,Ribeirão Preto,8,15,6,84,0,2,89,1,22,173,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350830,Cabrália Paulista,35020,Bauru,3504,Bauru,1,1,0,9,0,104,4,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350840,Cabreúva,35046,Sorocaba,3512,Macro Metropolitana Paulista,8,3,6,6,22,264,112,14,26,104,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,0,5,2,0,1,0,4,3,2,3,1,3,2,1,0,1,0,0,0,1,0,0,0,5
350850,Caçapava,35050,São José dos Campos,3513,Vale do Paraíba Paulista,346,73,31,66,301,1226,60,33,35,1054,0,0,0,1,0,0,0,0,0,0,3,3,4,3,6,3,6,3,11,11,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,1,0,1
350860,Cachoeira Paulista,35051,Guaratinguetá,3513,Vale do Paraíba Paulista,148,460,41,363,21,465,49,14,36,150,1,0,0,0,0,1,0,0,0,0,1,5,0,1,2,3,2,8,5,11,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
350880,Cafelândia,35019,Lins,3504,Bauru,28,16,2,45,29,226,48,2,1,278,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350890,Caiabu,35036,Presidente Prudente,3508,Presidente Prudente,1,0,0,8,2,25,43,1,1,95,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350900,Caieiras,35058,Franco da Rocha,3515,Metropolitana de São Paulo,27,48,16,127,232,524,77,26,21,117,0,0,1,0,0,0,0,0,0,0,7,5,6,4,6,2,4,5,8,4,2,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
350920,Cajamar,35057,Osasco,3515,Metropolitana de São Paulo,19,64,14,55,257,3396,300,37,23,472,1,0,0,0,0,0,0,0,0,1,6,11,5,9,10,6,5,3,2,2,1,0,1,1,0,0,0,1,1,1,0,0,2,2,0,0,0,0,0,0
350925,Cajati,35055,Registro,3514,Litoral Sul Paulista,143,197,2,510,5,37,42,12,1,31,0,0,0,0,0,0,0,0,0,0,9,2,4,4,5,4,6,7,6,6,1,2,4,3,2,3,6,1,0,0,0,1,0,0,0,0,0,0,0,0
350930,Cajobi,35005,Catanduva,3501,São José do Rio Preto,9,177,12,119,93,169,67,3,4,323,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
350940,Cajuru,35015,Batatais,3502,Ribeirão Preto,277,37,2,42,4,887,28,11,6,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
350950,Campinas,35032,Campinas,3507,Campinas,2911,3362,1136,7281,42780,66758,3506,177,316,26363,3,4,6,0,4,2,5,1,2,3,338,450,335,296,345,419,233,176,131,195,11,8,8,12,6,4,8,3,10,6,8,10,9,7,7,1,5,6,9,2
350960,Campo Limpo Paulista,35047,Jundiaí,3512,Macro Metropolitana Paulista,17,15,14,127,1107,1024,25,7,15,200,0,0,1,0,0,0,0,0,2,0,11,16,4,5,4,2,5,1,9,7,2,1,0,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0
350970,Campos do Jordão,35049,Campos do Jordão,3513,Vale do Paraíba Paulista,3,4,5,2,9,11,30,7,0,12,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,5,2,3,9,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
350980,Campos Novos Paulista,35039,Assis,3510,Assis,8,3,0,5,4,32,4,0,0,182,0,1,0,1,0,0,0,0,1,1,0,0,1,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
350990,Cananéia,35055,Registro,3514,Litoral Sul Paulista,2,1,1,240,20,186,31,2,2,62,0,0,0,1,0,0,0,0,0,0,1,2,0,4,7,3,0,2,5,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
351000,Cândido Mota,35039,Assis,3510,Assis,59,48,5,84,114,4341,52,10,3,238,0,0,0,0,0,0,0,0,0,0,40,19,19,26,19,7,3,6,12,9,0,0,0,0,0,0,0,0,0,0,2,4,2,2,2,0,0,0,0,0
351010,Cândido Rodrigues,35013,Jaboticabal,3502,Ribeirão Preto,33,22,3,9,0,33,75,1,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
351015,Canitar,35040,Ourinhos,3510,Assis,2,1,0,2,12,26,2,1,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
