hypothesis,biodiversity,health_outcome,moderator,r_high_vuln,r_low_vuln,diff_r,interaction_coef,interaction_p,significant_moderation
H1.3,forest_cover,incidence_mean_leishmaniose,pct_rural,-0.25252378476655624,-0.12049831708286574,0.1320254676836905,0.2357597449230673,8.184336855908218e-16,True
H1.3,forest_cover,incidence_diarrhea_mean,pct_rural,-0.40369980503769104,-0.3393908004078704,0.06430900462982064,-0.0037653001076425638,0.90071106159058,False
H1.3,forest_cover,health_death_circ_mean,pct_rural,-0.1015606937277852,-0.015554032319735286,0.08600666140804991,-0.057815940696120414,0.05791073063019194,False
H1.3,forest_cover,health_hosp_resp_mean,pct_rural,-0.373401284627529,-0.35765719572684823,0.01574408890068074,-0.02249294509488072,0.44010742725077445,False
H1.3,mean_species_richness,incidence_mean_dengue,pct_rural,-0.5723117113613816,-0.3505173407501114,0.22179437061127022,-0.043613336633753746,0.20843473830284154,False
H1.3,mean_species_richness,incidence_mean_malaria,pct_rural,0.04107698455884487,-0.08487824417747582,-0.04380125961863095,0.01721644040395473,0.6541261283175317,False
H1.3,mean_species_richness,incidence_mean_leptospirose,pct_rural,0.3075624077552383,0.3124664713069859,-0.004904063551747606,0.03355951881741629,0.37521523085831043,False
H1.3,mean_species_richness,incidence_mean_leishmaniose,pct_rural,-0.46452215932744145,-0.3941717126050951,0.07035044672234636,0.02384746891444718,0.5147110201989705,False
H1.3,mean_species_richness,incidence_diarrhea_mean,pct_rural,-0.4528031549464717,-0.41770217785781955,0.035100977088652174,-0.041632820705966675,0.2619440377380804,False
H1.3,mean_species_richness,health_death_circ_mean,pct_rural,-0.11993966160071963,-0.20611948879297223,-0.0861798271922526,0.0617249217649864,0.10099373078172078,False
H1.3,mean_species_richness,health_hosp_resp_mean,pct_rural,-0.4378589981632114,-0.3843051110818373,0.053553887081374096,-0.04571924506476517,0.20457040711048752,False
H1.3,forest_cover,incidence_mean_dengue,pct_preta,-0.39703977683144015,-0.5386869109395251,-0.141647134108085,0.07221510462055766,0.01614820075185199,True
H1.3,forest_cover,incidence_mean_malaria,pct_preta,0.18064975413087694,-0.04392234392707614,0.1367274102038008,0.1356096608871034,1.012534159067622e-05,True
H1.3,forest_cover,incidence_mean_leptospirose,pct_preta,0.3676880959485359,0.11458410518475934,0.25310399076377654,0.053150586314768204,0.08298138946804248,False
H1.3,forest_cover,incidence_mean_leishmaniose,pct_preta,-0.09506974615915904,-0.2339556577591582,-0.13888591159999913,0.20808418880600704,1.1042405767876059e-11,True
H1.3,forest_cover,incidence_diarrhea_mean,pct_preta,-0.3823912548205167,-0.33806147611724446,0.04432977870327226,0.058980913380320896,0.05367235998418171,False
H1.3,forest_cover,health_death_circ_mean,pct_preta,0.11657388150573873,-0.1195739496366891,-0.00300006813095037,0.13281735915622206,6.521801268522888e-06,True
H1.3,forest_cover,health_hosp_resp_mean,pct_preta,-0.37522359441927533,-0.281135595487817,0.0940879989314583,0.06473791830846524,0.026246983811416467,True
H1.3,mean_species_richness,incidence_mean_dengue,pct_preta,-0.39687240266053025,-0.50932126309751,-0.11244886043697977,0.08185721016748632,0.02910841591662767,True
H1.3,mean_species_richness,incidence_mean_malaria,pct_preta,0.019738456520057675,-0.02177385353297931,-0.002035397012921634,0.050750242313856976,0.20790542120192576,False
H1.3,mean_species_richness,incidence_mean_leptospirose,pct_preta,0.43579895919534867,0.2073719372371611,0.22842702195818756,0.05131631336779897,0.19621457457954755,False
H1.3,mean_species_richness,incidence_mean_leishmaniose,pct_preta,-0.40746108103113493,-0.45588591154633157,-0.04842483051519664,0.09974141609806172,0.011261057364915686,True
H1.3,mean_species_richness,incidence_diarrhea_mean,pct_preta,-0.4439419805552529,-0.40707230945159345,0.03686967110365946,0.057446224515174796,0.1373301412383686,False
H1.3,mean_species_richness,health_death_circ_mean,pct_preta,-0.08439648424841587,-0.2025363022729997,-0.11813981802458384,0.1361903954817719,0.0003054840101783078,True
H1.3,mean_species_richness,health_hosp_resp_mean,pct_preta,-0.40172219408994214,-0.39813536997595933,0.0035868241139828116,0.04808952729810224,0.18896704526156277,False
H1.3,forest_cover,incidence_mean_dengue,pct_indigena,-0.39290283335603204,-0.47721660682215217,-0.08431377346612012,0.3217231372568437,2.794468468768622e-05,True
H1.3,forest_cover,incidence_mean_malaria,pct_indigena,0.11156432842657286,-0.00613956714609171,0.10542476128048116,0.36701461041232,2.975470255394437e-06,True
H1.3,forest_cover,incidence_mean_leptospirose,pct_indigena,0.3419912762463797,0.09133293385664486,0.25065834238973483,0.13079543733277663,0.0960069103789708,False
H1.3,forest_cover,incidence_mean_leishmaniose,pct_indigena,-0.20197315512083786,-0.10983283169000854,0.09214032343082931,-0.015902364494137986,0.8421044600858303,False
H1.3,forest_cover,incidence_diarrhea_mean,pct_indigena,-0.43447265986467726,-0.26182218107627236,0.1726504787884049,0.06754347720085802,0.3906144859542443,False
H1.3,forest_cover,health_death_circ_mean,pct_indigena,-0.0482339256101769,0.03973429240043608,0.008499633209740821,-0.014137619238160613,0.8602390378686386,False
H1.3,forest_cover,health_hosp_resp_mean,pct_indigena,-0.4494790351599983,-0.16859877527767278,0.28088025988232557,0.05156283313734628,0.5008303049326124,False
H1.3,mean_species_richness,incidence_mean_dengue,pct_indigena,-0.44991670708456283,-0.4152494077893781,0.03466729929518475,0.06734049758177756,0.30286780381749445,False
H1.3,mean_species_richness,incidence_mean_malaria,pct_indigena,-0.047840876937364024,0.030099467684798504,0.01774140925256552,0.08325305136828742,0.23401235797621633,False
H1.3,mean_species_richness,incidence_mean_leptospirose,pct_indigena,0.2923604310530398,0.30404982089205346,-0.01168938983901363,-0.00606470461896233,0.9299444445160334,False
H1.3,mean_species_richness,incidence_mean_leishmaniose,pct_indigena,-0.4311349632444035,-0.43986309579381455,-0.008728132549411072,0.033828322799359725,0.6216159013563841,False
H1.3,mean_species_richness,incidence_diarrhea_mean,pct_indigena,-0.41871266686181213,-0.43233433153838535,-0.01362166467657322,-0.039908566819386274,0.5550914278301363,False
H1.3,mean_species_richness,health_death_circ_mean,pct_indigena,-0.20695137958565069,-0.1258451839856112,0.08110619560003948,0.011408899662814385,0.8692484472865607,False
H1.3,mean_species_richness,health_hosp_resp_mean,pct_indigena,-0.4112722129278867,-0.3840057034811615,0.027266509446725207,-0.040241021423421584,0.5407543645818917,False
